CAMID,file_url,hybrid_stat,split,zenodo_link,md5,subspecies,parent_subspecies_1,parent_subspecies_2,filename
F651,https://zenodo.org/record/2555086/files/F651_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,748d256d6696b05283eec87659065a7c,3.0,,,F651.jpg
F675,https://zenodo.org/record/2555086/files/F675_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,59e482a75944da34949e877ca3c571b1,3.0,,,F675.jpg
F677,https://zenodo.org/record/2555086/files/F677_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,a2d19dd17b05cd6ddf0bd84aac41f433,3.0,,,F677.jpg
F680,https://zenodo.org/record/2555086/files/F680_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,abd0a59de2da1229112ed96b9a7e7c48,3.0,,,F680.jpg
F683,https://zenodo.org/record/2555086/files/F683_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,181913933f8a27429ad90c2ec5f62901,3.0,,,F683.jpg
F632,https://zenodo.org/record/2555086/files/F632_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,4c8af647137895899f50cc11b18bd271,3.0,,,F632.jpg
F688,https://zenodo.org/record/2555086/files/F688_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,846d8ddbac6b719d7bc02930a4eef990,3.0,,,F688.jpg
F700,https://zenodo.org/record/2555086/files/F700_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,b4e9bba2346f108f6da5499d6eecbd68,3.0,,,F700.jpg
F753,https://zenodo.org/record/2555086/files/F753_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,0d56b33082b69b86a0ac011d81f594d0,3.0,,,F753.jpg
F754,https://zenodo.org/record/2555086/files/F754_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,e8916d02eef71c251a00912aa08c1714,3.0,,,F754.jpg
F756,https://zenodo.org/record/2555086/files/F756_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,e85004dc046252a64a3a380cf791bf45,3.0,,,F756.jpg
F757,https://zenodo.org/record/2555086/files/F757_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,eeee99986c6f036e3c3cd4dbc096489c,3.0,,,F757.jpg
F768,https://zenodo.org/record/2555086/files/F768_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,bfe8c86c1bcd166e5f4c194c052999e5,3.0,,,F768.jpg
F770,https://zenodo.org/record/2555086/files/F770_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,2689893cffc0d70178ef1f61fe433182,3.0,,,F770.jpg
F694,https://zenodo.org/record/2555086/files/F694_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,d4ac93996fdccdb33192c784b58a3990,3.0,,,F694.jpg
F771,https://zenodo.org/record/2555086/files/F771_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,64b89668715a524b0d8582d7e48a1439,3.0,,,F771.jpg
F579,https://zenodo.org/record/2555086/files/F579_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,2fdd124113b6b15347aec3fa39a507a8,3.0,,,F579.jpg
F1148,https://zenodo.org/record/2555086/files/F1148_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,524a909e7bf35bc93b58ab9ec94d47de,3.0,,,F1148.jpg
F1000,https://zenodo.org/record/2555086/files/F1000_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,6c97751028483ae3c2bec4cc16256297,3.0,,,F1000.jpg
F1002,https://zenodo.org/record/2555086/files/F1002_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,4b726af0ab03f6ee755f417aae3308ed,3.0,,,F1002.jpg
F1003,https://zenodo.org/record/2555086/files/F1003_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,4bda79cd995834f398a0dc3ec7f2cba5,3.0,,,F1003.jpg
F1006,https://zenodo.org/record/2555086/files/F1006_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,93746b68464bd08a7862af7a87a059b7,3.0,,,F1006.jpg
F1018,https://zenodo.org/record/2555086/files/F1018_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,14fc46b7421a90a7a3fc00138244895d,3.0,,,F1018.jpg
F1055,https://zenodo.org/record/2555086/files/F1055_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,2f7e3fb05324723a5daddad40e8ee173,3.0,,,F1055.jpg
F1056,https://zenodo.org/record/2555086/files/F1056_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,fff16ac55f7e2561ca3d73628f7e9c80,3.0,,,F1056.jpg
F337,https://zenodo.org/record/2555086/files/F337_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,1912c7129b394b63074912cc1ba85749,3.0,,,F337.jpg
F1058,https://zenodo.org/record/2555086/files/F1058_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,301a3d8c5e53218b5c82d946dc81c739,3.0,,,F1058.jpg
F1060,https://zenodo.org/record/2555086/files/F1060_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,4a72726c905d67cd2d3059b69dd350bf,3.0,,,F1060.jpg
F1062,https://zenodo.org/record/2555086/files/F1062_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,c29221fac26202baf6ac9c58a2f5ee53,3.0,,,F1062.jpg
F910,https://zenodo.org/record/2555086/files/F910_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,ddf48e30d64da91a0b26bd4209da4279,3.0,,,F910.jpg
F1141,https://zenodo.org/record/2555086/files/F1141_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,a72acd02f24a596bfb7a4bef14401ebe,3.0,,,F1141.jpg
F1142,https://zenodo.org/record/2555086/files/F1142_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,4730b059069a048d968e5080efabdbf6,3.0,,,F1142.jpg
F1146,https://zenodo.org/record/2555086/files/F1146_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,b334270d9d82cdaf3573e55d9c803401,3.0,,,F1146.jpg
F1147,https://zenodo.org/record/2555086/files/F1147_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,10c9f31c0a7167fe17d47b0e54aff0e4,3.0,,,F1147.jpg
F1059,https://zenodo.org/record/2555086/files/F1059_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,309a0a2c882c36790c20326895e22e48,3.0,,,F1059.jpg
F783,https://zenodo.org/record/2555086/files/F783_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,f7b64669eb18777dcaae9c112f63ad4d,3.0,,,F783.jpg
F1063,https://zenodo.org/record/2555086/files/F1063_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,81675e4b8ff4959d1b2ce2f66022c6c8,3.0,,,F1063.jpg
F801,https://zenodo.org/record/2555086/files/F801_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,2dcd6ed70e74fdd498da6178154e8737,3.0,,,F801.jpg
F869,https://zenodo.org/record/2555086/files/F869_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,664b3995309a06b97739decfaffc50ad,3.0,,,F869.jpg
F870,https://zenodo.org/record/2555086/files/F870_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,0d81c78d9402d6ec017465304ad1adb7,3.0,,,F870.jpg
F871,https://zenodo.org/record/2555086/files/F871_d.JPG,non-hybrid,train,https://zenodo.org/record/2555086,0acaa92d473d579fe7cf0a345297af0d,3.0,,,F871.jpg
CAM000457,https://zenodo.org/record/2677821/files/CAM000457_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,d2e8de468c2f992729aa1238765a58d3,7.0,,,CAM000457.jpg
CAM000472,https://zenodo.org/record/2677821/files/CAM000472_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,0c9a2263f7d144b62dc5e55ef5f6a3b4,7.0,,,CAM000472.jpg
CAM000471,https://zenodo.org/record/2677821/files/CAM000471_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,f0596f856163b810eeea3ca31438944c,7.0,,,CAM000471.jpg
CAM000470,https://zenodo.org/record/2677821/files/CAM000470_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,a236fcb60b511ccecb7da454a8dd8182,7.0,,,CAM000470.jpg
CAM000469,https://zenodo.org/record/2677821/files/CAM000469_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,3eaf95858e087c744b233364d86c2af5,7.0,,,CAM000469.jpg
CAM000468,https://zenodo.org/record/2677821/files/CAM000468_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,06cea1da65d6278fb85409a5e4ce977e,7.0,,,CAM000468.jpg
CAM000456,https://zenodo.org/record/2677821/files/CAM000456_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,c72f63a1ba8e727c5eadd5c53d5f8c9c,7.0,,,CAM000456.jpg
CAM000455,https://zenodo.org/record/2677821/files/CAM000455_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,278511cbdb222e47537deca7a60225fe,7.0,,,CAM000455.jpg
CAM000454,https://zenodo.org/record/2677821/files/CAM000454_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,7ae01e7a143a8f908ef6397b59a5387f,7.0,,,CAM000454.jpg
CAM000446,https://zenodo.org/record/2677821/files/CAM000446_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,7c129d5c1698a505e0635a3ecfa946ce,7.0,,,CAM000446.jpg
CAM000442,https://zenodo.org/record/2677821/files/CAM000442_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,f97f416be0b19832d7be5fdaee8fdfc1,7.0,,,CAM000442.jpg
CAM000440,https://zenodo.org/record/2677821/files/CAM000440_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,555ce5c817cf9ca6118f12bc22935554,7.0,,,CAM000440.jpg
CAM000124,https://zenodo.org/record/2677821/files/CAM000124_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,05a37ffc84c0b4453735cbbf027d0219,1.0,,,CAM000124.jpg
CAM000088,https://zenodo.org/record/2677821/files/CAM000088_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,04118b08146fe96530a05a7dda9cf1ec,1.0,,,CAM000088.jpg
CAM000087,https://zenodo.org/record/2677821/files/CAM000087_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,29f64d7e82884ff77f8c0a23554d5129,1.0,,,CAM000087.jpg
CAM000086,https://zenodo.org/record/2677821/files/CAM000086_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,4adeb38a02f0858b7579514990b760fa,1.0,,,CAM000086.jpg
CAM000085,https://zenodo.org/record/2677821/files/CAM000085_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,cc797f5d6de6911e6d28c32dcfc4735b,1.0,,,CAM000085.jpg
CAM000084,https://zenodo.org/record/2677821/files/CAM000084_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,c3b14b3e6ab08909934a1da0aca5206a,1.0,,,CAM000084.jpg
CAM000083,https://zenodo.org/record/2677821/files/CAM000083_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,b82e4a4e1b80a5fe5714931f888f67e6,1.0,,,CAM000083.jpg
CAM000079,https://zenodo.org/record/2677821/files/CAM000079_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,4854f714ec059d19067307acaa3b60ea,1.0,,,CAM000079.jpg
CAM000078,https://zenodo.org/record/2677821/files/CAM000078_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,6484fab8288b60f7232f5f8c9b22dbae,1.0,,,CAM000078.jpg
CAM000077,https://zenodo.org/record/2677821/files/CAM000077_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,86f60ed6fc6457eb21c6fd90d23c6266,1.0,,,CAM000077.jpg
CAM000076,https://zenodo.org/record/2677821/files/CAM000076_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,ae17b34495901d32ea382eee46b0adaa,1.0,,,CAM000076.jpg
CAM000075,https://zenodo.org/record/2677821/files/CAM000075_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,fc1d5c555eee11b7b8e589e8e4c0e7f6,1.0,,,CAM000075.jpg
CAM000066,https://zenodo.org/record/2677821/files/CAM000066_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,3c75076a739d4b86c7532ea2a235dd54,1.0,,,CAM000066.jpg
CAM000065,https://zenodo.org/record/2677821/files/CAM000065_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,9d27d8b286c6fb7770d6791d8f8be5ca,1.0,,,CAM000065.jpg
CAM000089,https://zenodo.org/record/2677821/files/CAM000089_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,b63435319d88ef778ea957990346ac84,1.0,,,CAM000089.jpg
CAM000090,https://zenodo.org/record/2677821/files/CAM000090_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,7672b2800bc90f94837478b41e6f5422,1.0,,,CAM000090.jpg
CAM000091,https://zenodo.org/record/2677821/files/CAM000091_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,9f17985a153539c5268ffd2c61cfeaa2,1.0,,,CAM000091.jpg
CAM000122,https://zenodo.org/record/2677821/files/CAM000122_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,e0324287b078b5a2decc1cee6b66598c,1.0,,,CAM000122.jpg
CAM000144,https://zenodo.org/record/2677821/files/CAM000144_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,f99a7c070d6cec5586d725c42bd966ae,1.0,,,CAM000144.jpg
CAM000143,https://zenodo.org/record/2677821/files/CAM000143_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,9cafbe33eb43b1763f511c9832d4f65f,1.0,,,CAM000143.jpg
CAM000142,https://zenodo.org/record/2677821/files/CAM000142_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,36db616d4f6f59513e9dc88792481c76,1.0,,,CAM000142.jpg
CAM000141,https://zenodo.org/record/2677821/files/CAM000141_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,57b01fb20ce79f74f3d816ed57151350,1.0,,,CAM000141.jpg
CAM000140,https://zenodo.org/record/2677821/files/CAM000140_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,e87ec72eb75c1bd7d61c4d8c99fa42a1,1.0,,,CAM000140.jpg
CAM000139,https://zenodo.org/record/2677821/files/CAM000139_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,668e0b00dafcda45d96e8d88bea0b9bc,1.0,,,CAM000139.jpg
CAM000127,https://zenodo.org/record/2677821/files/CAM000127_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,a0718286f190b7dec09eb53692dc13f7,1.0,,,CAM000127.jpg
CAM000126,https://zenodo.org/record/2677821/files/CAM000126_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,7a486292e6da3e1cbbf3f65b571bb938,1.0,,,CAM000126.jpg
CAM000125,https://zenodo.org/record/2677821/files/CAM000125_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,3ab234008ec83c5ffe9b8584d03cddec,1.0,,,CAM000125.jpg
CAM000123,https://zenodo.org/record/2677821/files/CAM000123_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,cb6870a90aff4da656a461a48f5b6e3f,1.0,,,CAM000123.jpg
CAM000145,https://zenodo.org/record/2677821/files/CAM000145_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,f688c5362251a628e642ae6e8d235fb4,1.0,,,CAM000145.jpg
CAM000229,https://zenodo.org/record/2677821/files/CAM000229_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,1b79d4ec50a327fc4ba880e41632cd17,1.0,,,CAM000229.jpg
CAM000228,https://zenodo.org/record/2677821/files/CAM000228_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,3aecf676db01bef92ec2b67d2dce0045,1.0,,,CAM000228.jpg
CAM000227,https://zenodo.org/record/2677821/files/CAM000227_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,3d68c1cb7fd3cc9f64007702dff59c66,1.0,,,CAM000227.jpg
CAM000226,https://zenodo.org/record/2677821/files/CAM000226_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,d433c5d33597ed3002b618cbe4385c0f,1.0,,,CAM000226.jpg
CAM000215,https://zenodo.org/record/2677821/files/CAM000215_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,f177ca0b72ef9b1f47c35d6c29d77aa5,1.0,,,CAM000215.jpg
CAM000214,https://zenodo.org/record/2677821/files/CAM000214_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,007c5872cfeb9c3be168e07fb851bcd7,1.0,,,CAM000214.jpg
CAM000212,https://zenodo.org/record/2677821/files/CAM000212_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,b60db98de951d61ed32719de68c1262e,1.0,,,CAM000212.jpg
CAM000211,https://zenodo.org/record/2677821/files/CAM000211_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,371bb62ca2fe4e48f8525ef987005290,1.0,,,CAM000211.jpg
CAM000210,https://zenodo.org/record/2677821/files/CAM000210_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,0080be0e7109750a455c961013ece247,1.0,,,CAM000210.jpg
CAM000209,https://zenodo.org/record/2677821/files/CAM000209_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,3306c229239d1a87f133d8e7b58e45ef,1.0,,,CAM000209.jpg
CAM000207,https://zenodo.org/record/2677821/files/CAM000207_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,5b6734af83cca4aff93af74a93684c9d,1.0,,,CAM000207.jpg
CAM000206,https://zenodo.org/record/2677821/files/CAM000206_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,070622580e4d12823235a546782c81e5,1.0,,,CAM000206.jpg
CAM000205,https://zenodo.org/record/2677821/files/CAM000205_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,f978b17fd90092e186cfbeed8b012a78,1.0,,,CAM000205.jpg
CAM000203,https://zenodo.org/record/2677821/files/CAM000203_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,e67545abeeef07178afdaa3a2ff9b7a3,1.0,,,CAM000203.jpg
CAM000201,https://zenodo.org/record/2677821/files/CAM000201_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,67912b844b24b6aeb5028e160f806ab0,1.0,,,CAM000201.jpg
CAM000189,https://zenodo.org/record/2677821/files/CAM000189_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,7bc67e5d1b915dca9d3845c6e48fea1a,1.0,,,CAM000189.jpg
CAM000188,https://zenodo.org/record/2677821/files/CAM000188_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,0caf0679ed9374fffebcf3a034cc4ead,1.0,,,CAM000188.jpg
CAM000180,https://zenodo.org/record/2677821/files/CAM000180_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,cf62def98a8feeef0e3bcab02ec00506,1.0,,,CAM000180.jpg
CAM000176,https://zenodo.org/record/2677821/files/CAM000176_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,8d4175e99df11cf709694d7022f9888b,1.0,,,CAM000176.jpg
CAM000257,https://zenodo.org/record/2677821/files/CAM000257_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,020bcdebea9b050b9f8e5c37b483be3d,7.0,,,CAM000257.jpg
CAM000256,https://zenodo.org/record/2677821/files/CAM000256_d.JPG,non-hybrid,train,https://zenodo.org/record/2677821,4ea2c37b694b592ffd50c980863c5611,7.0,,,CAM000256.jpg
CAM000539,https://zenodo.org/record/2682458/files/CAM000539_d.JPG,non-hybrid,train,https://zenodo.org/record/2682458,1f39dceef60155b3a7eaae404decb7a8,7.0,,,CAM000539.jpg
